,current_text,candidate_text,current_main_category_id,candidate_main_category_id,current_sub_category_id,candidate_sub_category_id,label
0,細胞とは、全ての生物が持つ、微小な部屋状の下部構造のこと,生物体の構造上・機能上の基本単位,0,1,0,2,1
1,細胞とは、全ての生物が持つ、微小な部屋状の下部構造のこと,そして同時にそれ自体を生命体と言うこともできる,0,2,0,4,1
2,細胞とは、全ての生物が持つ、微小な部屋状の下部構造のこと,コレステロールとは、ステロイドに分類され、その中でもステロールと呼ばれるサブグループに属する有機化合物の一種である,0,3,0,6,1
3,細胞とは、全ての生物が持つ、微小な部屋状の下部構造のこと,1784年に胆石からコレステロールが初めて単離された,0,4,0,8,0
4,細胞とは、全ての生物が持つ、微小な部屋状の下部構造のこと,室温で単離された場合は白色ないしは微黄色の固体である,0,5,0,10,0
5,細胞とは、全ての生物が持つ、微小な部屋状の下部構造のこと,生体内ではスクアレンからラノステロールを経て生合成される,0,6,0,12,1
6,細胞とは、全ての生物が持つ、微小な部屋状の下部構造のこと,生物（せいぶつ）または生き物（いきもの）とは、動物・菌類・植物・古細菌・細菌などを総称した呼び方である,0,7,0,14,1
7,細胞とは、全ての生物が持つ、微小な部屋状の下部構造のこと,地球上の全ての生物の共通の祖先があり（原始生命体・共通祖先）、その子孫達が増殖し複製するにつれ遺伝子に様々な変異が生じることで進化がおきたとされている,0,8,0,16,1
8,細胞とは、全ての生物が持つ、微小な部屋状の下部構造のこと,結果、バクテリアからヒトにいたる生物多様性が生まれ、お互いの存在(他者)や地球環境に依存しながら、相互に複雑な関係で結ばれる生物圏を形成するにいたっている,0,9,0,18,0
9,細胞とは、全ての生物が持つ、微小な部屋状の下部構造のこと,そのことをガイアとも呼ぶものもある,0,10,0,20,1
10,細胞とは、全ての生物が持つ、微小な部屋状の下部構造のこと,これまで記録された数だけでも百数十万種に上ると言われており、そのうち動物は100万種以上、植物（菌類や藻類も含む）は50万種ほどである[1],0,11,0,22,1
11,細胞とは、全ての生物が持つ、微小な部屋状の下部構造のこと,何をもって生物と見なすかについては、さまざまな定義が存在し、その統一は困難であるとされる[2],0,12,0,24,1
12,細胞とは、全ての生物が持つ、微小な部屋状の下部構造のこと,生物が持ち、無生物が持たない能力や特徴としては一応、自己増殖能力、エネルギー変換能力、自己と外界との明確な隔離があるとされる,0,13,0,26,1
13,細胞とは、全ての生物が持つ、微小な部屋状の下部構造のこと,これに進化する能力を加えることも多い[3],0,14,0,28,1
14,細胞とは、全ての生物が持つ、微小な部屋状の下部構造のこと,また、生物は外界とのやりとりを絶やすことのない開放系を取りながら、恒常性（ホメオスタシス）を維持する能力を持ち、常に変化する[4],0,15,0,30,1
15,細胞とは、全ての生物が持つ、微小な部屋状の下部構造のこと,生物はすべて細胞を基礎としており、細胞によって構成されていないウイルスなども寄生する細胞がなくては増殖できない[5],0,16,0,32,1
16,細胞とは、全ての生物が持つ、微小な部屋状の下部構造のこと,ウイルスは、「それ自身が十分な代謝系をもたないため、宿主細胞がなくては自立増殖することができない」[6]ため、生物か非生物かについて主張が分かれている,0,17,0,34,0
17,細胞とは、全ての生物が持つ、微小な部屋状の下部構造のこと,生命の起源はおよそ40億年前であると考えられている[7]が、それがどのように発生したのかについてはさまざまな仮説が存在する,0,18,0,36,0
18,細胞とは、全ての生物が持つ、微小な部屋状の下部構造のこと,現在の地球の大気組成は、窒素が78%、酸素が21%、二酸化炭素が0.036%というような構成になっているが、生物が現れる前は、二酸化炭素が多くを占める構成であった,0,19,0,38,0
19,細胞とは、全ての生物が持つ、微小な部屋状の下部構造のこと,その温室効果によって地表の温度も高かった,0,20,0,40,1
20,細胞とは、全ての生物が持つ、微小な部屋状の下部構造のこと,ここに生物が出現することによって、光合成による有機物の生成や、生物由来の石灰岩の生成がなされ、炭素固定がなされた結果、今のような酸素が多く含まれた窒素主体の大気組成となった,0,21,0,42,1
